,dir,accuracies,packsRaw
209,monikapeteva-predictive-analysis-of-survival-rate-on-titanic,0.778,"{'character(0)': ['get_age', 'get_titles'], 'package:base': ['as.character', 'as.data.frame', 'as.integer', 'as.numeric', 'c', 'cat', 'cut', 'data.frame', 'factor', 'ifelse', 'is.na', 'length', 'library', 'list', 'max', 'mean', 'min', 'names', 'options', 'rbind', 'rep', 'return', 'round', 'sample', 'sapply', 'set.seed', 'strsplit', 'sum', 'table', 'tapply', 'which'], 'package:e1071': ['svm'], 'package:ggplot2': ['aes', 'geom_density', 'geom_histogram', 'geom_vline', 'ggplot'], 'package:graphics': ['barplot', 'hist', 'par'], 'package:randomForest': ['randomForest'], 'package:rpart': ['rpart'], 'package:stats': ['glm', 'median', 'na.omit', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
210,seajaye-titanic-logistic-regression-0-78947,0.783,"{'character(0)': ['p_load'], 'package:base': ['as.data.frame', 'c', 'colnames', 'factor', 'gsub', 'is.na', 'levels', 'summary', 'table', 'tolower'], 'package:ggplot2': ['aes', 'geom_boxplot', 'geom_histogram', 'ggplot'], 'package:stats': ['binomial', 'cor.test', 'glm', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
211,researchbigd-titanic-r-researchbigd,0.778,"{'package:base': ['c', 'data.frame', 'date', 'library', 'nrow', 'print', 'summary', 'table'], 'package:graphics': ['mosaicplot', 'plot', 'text'], 'package:grDevices': ['dev.off', 'png'], 'package:rattle': ['fancyRpartPlot'], 'package:rpart': ['rpart'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
212,somtom-titanic-random-icebergs,0.745,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'character(0)': ['ggplot_missing_col'], 'package:base': ['as.character', 'c', 'data.frame', 'expand.grid', 'factor', 'ifelse', 'is.na', 'is.vector', 'require', 'set.seed', 'subset', 'sum', 'table'], 'package:caret': ['confusionMatrix.train', 'train', 'trainControl'], 'package:dplyr': ['arrange', 'bind_rows', 'desc', 'group_by', 'left_join', 'mutate', 'mutate_if', 'n', 'rename', 'select', 'summarise', 'ungroup'], 'package:ggplot2': ['aes', 'element_text', 'geom_bar', 'geom_col', 'geom_raster', 'geom_text', 'geom_vline', 'ggplot', 'guide_legend', 'guides', 'labs', 'position_fill', 'scale_fill_discrete', 'scale_x_continuous', 'theme', 'theme_minimal', 'xlab', 'ylab'], 'package:graphics': ['plot'], 'package:kknn': ['kknn'], 'package:purrr': ['map', 'map_df'], 'package:randomForest': ['randomForest'], 'package:reshape2': ['melt'], 'package:stats': ['median', 'predict', 'reorder'], 'package:stringr': ['str_trim'], 'package:tidyr': ['separate'], 'package:utils': ['read.csv', 'write.csv']}"
213,andrecn-random-forest-caret-model-prediction-titanic,0.781,"{'package:base': ['as.data.frame', 'as.factor', 'c', 'colnames', 'data.frame', 'factor', 'is.na', 'length', 'library', 'matrix', 'names', 'order', 'round', 'rownames', 'split', 'sprintf', 'subset', 'sum', 'summary', 'table', 'tapply'], 'package:caret': ['createDataPartition', 'dummyVars', 'preProcess', 'train', 'varImp'], 'package:dplyr': ['select'], 'package:ggplot2': ['aes', 'geom_text', 'geom_tile', 'ggplot', 'ggtitle', 'scale_fill_gradient', 'theme', 'theme_bw', 'xlab', 'ylab'], 'package:graphics': ['barplot', 'boxplot', 'legend', 'plot', 'text'], 'package:grDevices': ['topo.colors'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'write.csv']}"
214,pavani2018-titanicr-random-forests,0.771,"{'character(0)': ['randomForest'], 'package:base': ['as.data.frame', 'as.factor', 'c', 'ifelse', 'is.na', 'library', 'list.files', 'nrow', 'rbind', 'sapply', 'table'], 'package:grDevices': ['boxplot.stats'], 'package:rpart': ['rpart'], 'package:stats': ['as.formula', 'lm', 'median', 'predict'], 'package:stringr': ['str_extract'], 'package:utils': ['read.csv', 'write.csv']}"
215,dleprovost-simple-titanic-exploration,0.783,"{'.GlobalEnv': ['add_mSurv', 'getScores', 'quiet', 'score'], 'c("".GlobalEnv"", ""package:randomForest"")': ['importance'], 'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.data.frame', 'as.factor', 'as.integer', 'as.numeric', 'c', 'colnames', 'cumsum', 'cut', 'data.frame', 'factor', 'is.na', 'length', 'library', 'list', 'mean', 'names', 'ncol', 'nrow', 'rbind', 'rep', 'return', 'round', 'row.names', 'sample', 'sapply', 'seq', 'set.seed', 'split', 'subset', 'sum', 'summary', 'suppressMessages', 'suppressWarnings', 'which.min', 'within'], 'package:corrplot': ['corrplot'], 'package:dplyr': ['bind_rows', 'left_join', 'select'], 'package:e1071': ['svm'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_boxplot', 'geom_histogram', 'geom_hline', 'ggplot', 'guide_legend', 'guides', 'labs', 'qplot', 'scale_linetype_manual', 'theme'], 'package:graphics': ['legend', 'plot'], 'package:plyr': ['ldply', 'revalue'], 'package:randomForest': ['randomForest'], 'package:Rmisc': ['multiplot'], 'package:rpart': ['plotcp', 'prune', 'rpart', 'rpart.control'], 'package:rpart.plot': ['prp'], 'package:stats': ['aggregate', 'cor', 'median', 'predict', 'reorder', 'setNames'], 'package:utils': ['read.csv', 'stack', 'str', 'write.csv']}"
216,wtjw1993-predicting-survival-on-the-titanic,0.774,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'attr', 'c', 'data.frame', 'factor', 'gsub', 'ifelse', 'lapply', 'length', 'library', 'names', 'paste', 'rep', 'sapply', 'seq', 'set.seed', 'strsplit', 'which.max'], 'package:dplyr': ['bind_rows'], 'package:e1071': ['svm'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['randomForest'], 'package:stats': ['glm', 'median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
217,qianbi-titanic-voting,0.754,"{'package:base': ['as.numeric', 'c', 'data.frame', 'factor', 'gsub', 'ifelse', 'lapply', 'library', 'nrow', 'round'], 'package:dplyr': ['bind_rows'], 'package:e1071': ['svm'], 'package:mice': ['complete', 'mice'], 'package:nnet': ['nnet'], 'package:randomForest': ['randomForest'], 'package:rpart': ['rpart'], 'package:stats': ['glm', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
218,venkatko-titanic-survival1,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'as.matrix', 'c', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'paste', 'sapply', 'set.seed', 'strsplit', 'sum', 'system'], 'package:dplyr': ['bind_rows'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['randomForest'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
219,daiearth22-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
220,naomi7-survival-on-the-titanic,0.757,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
221,econdata-machine-learning-on-titanic-dataset,0.776,"{'character(0)': ['extractFeatures'], 'package:base': ['as.factor', 'c', 'data.frame', 'is.na', 'library', 'list.files', 'return', 'row.names', 'set.seed'], 'package:ggplot2': ['aes', 'coord_flip', 'element_text', 'geom_bar', 'ggplot', 'ggsave', 'ggtitle', 'theme', 'theme_light', 'xlab', 'ylab'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'write.csv']}"
222,waithira-titanic-analysis-with-r,0.781,"{'character(0)': ['set'], 'package:base': ['apply', 'as.factor', 'c', 'colSums', 'data.frame', 'dim', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'mean', 'names', 'sample', 'sum', 'summary', 'table', 'unique'], 'package:dplyr': ['bind_rows'], 'package:ggplot2': ['aes', 'facet_wrap', 'geom_bar', 'geom_histogram', 'ggplot', 'ylab'], 'package:graphics': ['plot'], 'package:randomForest': ['randomForest'], 'package:rpart': ['rpart'], 'package:rpart.plot': ['rpart.plot'], 'package:stats': ['binomial', 'glm', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
223,orbanjan-exploring-survival-on-the-titanic-new,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
224,karnakarthoorpu-titanicanalysis-r,0.668,"{'package:base': ['data.frame', 'is.na', 'library', 'set.seed', 'summary', 'system', 'table'], 'package:caret': ['createDataPartition'], 'package:nnet': ['class.ind', 'nnet'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
225,lizpund-titanic-competition-kernel,0.776,"{'character(0)': ['fancyRpartPlot'], 'package:base': ['as.character', 'c', 'data.frame', 'factor', 'length', 'library', 'prop.table', 'rbind', 'rep', 'sapply', 'strsplit', 'sub', 'sum', 'summary', 'table'], 'package:graphics': ['plot', 'text'], 'package:rpart': ['rpart', 'rpart.control'], 'package:rpart.plot': ['prp'], 'package:stats': ['aggregate', 'predict'], 'package:utils': ['install.packages', 'read.csv', 'write.csv']}"
226,bubblride-titanic-e1071-c-svc-fares-only,0.687,"{'package:base': ['as.factor', 'is.na', 'library', 'list.files', 'options', 'print', 'set.seed', 'summary', 'unname'], 'package:caret': ['confusionMatrix', 'createDataPartition'], 'package:dplyr': ['mutate', 'select'], 'package:e1071': ['svm'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
227,imendoza-titanic-rf-prediction,0.783,"{'c(""package:plyr"", ""package:dplyr"")': ['desc', 'mutate'], 'package:base': ['apply', 'as.integer', 'as.numeric', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list', 'mean', 'paste0', 'print', 'rep', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'suppressMessages', 'table', 'tapply'], 'package:corrplot': ['corrplot'], 'package:dplyr': ['bind_rows', 'dense_rank'], 'package:ggplot2': ['aes', 'coord_flip', 'element_blank', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_jitter', 'geom_text', 'geom_vline', 'ggplot', 'ggtitle', 'labs', 'scale_fill_discrete', 'scale_x_continuous', 'theme', 'xlab', 'ylab'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['legend', 'mosaicplot', 'plot'], 'package:grDevices': ['hcl'], 'package:plyr': ['revalue'], 'package:randomForest': ['importance', 'randomForest', 'varImpPlot'], 'package:scales': ['dollar_format'], 'package:stats': ['aggregate', 'cor', 'median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
228,suraj915-titanic-suraj,0.783,"{'package:base': ['as.data.frame', 'as.factor', 'is.na', 'library', 'nrow', 'rbind'], 'package:randomForest': ['randomForest'], 'package:stats': ['as.formula', 'median', 'predict'], 'package:utils': ['read.csv', 'tail', 'write.csv']}"
229,benybrahim-best-titanic-benchmark,0.774,"{'character(0)': ['isEven', 'isOdd'], 'package:base': ['as.factor', 'c', 'data.frame', 'exp', 'factor', 'gsub', 'I', 'lapply', 'library', 'names', 'print', 'sapply', 'set.seed', 'strsplit', 'which'], 'package:caret': ['train'], 'package:dplyr': ['bind_rows'], 'package:mice': ['complete', 'mice'], 'package:plyr': ['revalue'], 'package:stats': ['median', 'predict'], 'package:stringr': ['str_sub'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
230,sherrywangjy-titanic-machine-learning-from-disaster,0.776,"{'c(""package:lattice"", ""package:mice"")': ['densityplot'], 'c(""package:mice"", ""package:base"")': ['cbind', 'rbind'], 'package:base': ['apply', 'as.character', 'as.factor', 'c', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'mean', 'names', 'sapply', 'strsplit', 'sum', 'which'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['randomForest'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
231,virgodata-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
232,zhxiangxyang-titanic,0.776,"{'character(0)': ['extractFeatures'], 'package:base': ['as.factor', 'c', 'data.frame', 'is.na', 'library', 'return', 'row.names', 'set.seed'], 'package:ggplot2': ['aes', 'coord_flip', 'element_text', 'geom_bar', 'ggplot', 'ggsave', 'ggtitle', 'theme', 'theme_light', 'xlab', 'ylab'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'write.csv']}"
233,loveautumnlan-exploratoryanalysis-prediction-titanic,0.783,"{'c(""package:lattice"", ""package:mice"")': ['densityplot', 'stripplot', 'xyplot'], 'c(""package:mice"", ""package:base"")': ['rbind'], 'package:base': ['as.character', 'as.factor', 'as.vector', 'attach', 'c', 'colnames', 'data.frame', 'do.call', 'factor', 'grep', 'ifelse', 'is.na', 'library', 'list', 'nrow', 'paste', 'print', 'prop.table', 'round', 'sample', 'sapply', 'set.seed', 'strsplit', 'sub', 'sum', 'table', 'which', 'which.min', 'with'], 'package:ggplot2': ['aes', 'facet_wrap', 'geom_bar', 'geom_boxplot', 'geom_histogram', 'ggplot', 'ggtitle', 'xlab', 'ylab'], 'package:graphics': ['hist', 'legend', 'par', 'plot'], 'package:gridExtra': ['grid.arrange'], 'package:mice': ['complete', 'mice'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:reshape2': ['melt'], 'package:rpart': ['prune', 'rpart'], 'package:rpart.plot': ['rpart.plot'], 'package:stats': ['aggregate', 'median', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
234,ammara-titanic-competition-script-using-rf-2,0.769,"{'character(0)': ['feature_eng'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'factor', 'is.na', 'library', 'paste', 'rbind', 'return', 'sapply', 'set.seed', 'strsplit', 'sub'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
235,mihaque313-first-submission-to-titanic-problem,0.764,"{'package:base': ['data.frame', 'library'], 'package:readr': ['read_csv'], 'package:utils': ['write.csv']}"
236,vyordanov-titanic-disaster-logistic-regression-0-7655,0.769,"{'character(0)': ['set'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'factor', 'is.na', 'library', 'round', 'subset', 'summary', 'table'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_histogram', 'ggplot'], 'package:mice': ['complete', 'mice'], 'package:stats': ['glm', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
237,jww001-exploring-survival-on-the-titanicqw,0.757,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
238,petenice-titanickernel,0.587,"{'c(""package:dplyr"", ""package:lava"", ""package:ggplot2"")': ['vars'], 'character(0)': ['AdjustGroupNumber'], 'package:base': ['as.character', 'as.data.frame', 'as.factor', 'c', 'colnames', 'grepl', 'gsub', 'ifelse', 'is.na', 'length', 'library', 'merge', 'rbind', 'round', 'sample', 'set.seed', 'subset', 'unique', 'which'], 'package:dplyr': ['count', 'group_by', 'group_by_at', 'mutate', 'n', 'select'], 'package:lava': ['trim'], 'package:rpart': ['rpart'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'write.csv']}"
239,adambarnes-titanic-first-random-forest,0.778,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'character(0)': ['ageClass'], 'package:base': ['c', 'data.frame', 'factor', 'gregexpr', 'gsub', 'is.na', 'library', 'mean', 'nrow', 'options', 'round', 'rownames', 'substr', 'sum', 'unlist'], 'package:dplyr': ['anti_join', 'bind_rows', 'group_by', 'if_else', 'left_join', 'mutate', 'select', 'summarize'], 'package:ggplot2': ['aes', 'facet_grid', 'geom_bar', 'ggplot', 'scale_x_discrete'], 'package:randomForest': ['importance', 'randomForest'], 'package:stats': ['predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
240,skhawaja-titanic-disaster-survival-099,0.762,"{'c(""package:arules"", ""package:Matrix"", ""package:utils"")': ['head', 'tail'], 'c(""package:arules"", ""package:stats"")': ['predict'], 'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
241,jkevin2010-improved-model-for-titanic-survival,0.774,"{'package:base': ['data.frame', 'library', 'nrow'], 'package:graphics': ['plot', 'text'], 'package:rattle': ['fancyRpartPlot'], 'package:rpart': ['rpart', 'rpart.control'], 'package:stats': ['predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
242,athi94-a-beginner-s-stab-at-titanic,0.774,"{'character(0)': ['naSummary'], 'package:base': ['abs', 'as.character', 'as.data.frame.matrix', 'as.factor', 'as.numeric', 'c', 'cbind', 'ceiling', 'colnames', 'data.frame', 'dim', 'droplevels', 'duplicated', 'factor', 'ifelse', 'is.na', 'length', 'library', 'list', 'mean', 'names', 'nchar', 'nrow', 'rbind', 'rep', 'return', 'round', 'row.names', 'sapply', 'seq', 'seq_along', 'set.seed', 'sort', 'split', 'strsplit', 'subset', 'substr', 'sum', 'summary', 'table', 'trimws', 'unique', 'which', 'which.max'], 'package:e1071': ['tune'], 'package:ggplot2': ['aes', 'geom_bar', 'geom_col', 'geom_violin', 'ggplot'], 'package:graphics': ['hist', 'legend', 'par', 'plot'], 'package:randomForest': ['randomForest', 'varImpPlot'], 'package:reshape2': ['melt'], 'package:stats': ['lm', 'na.omit', 'predict', 'residuals', 'rnorm'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
243,kronprinserik-exploring-survival-on-the-titanic,0.754,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
244,sandraezidiegwu-exploratoryanalysis-prediction-titanic,0.764,"{'package:base': ['c', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'mean', 'names', 'paste', 'rbind', 'sum', 'summary', 'table'], 'package:ggplot2': ['aes', 'geom_bar', 'ggplot', 'labs', 'scale_x_continuous', 'theme_linedraw'], 'package:graphics': ['hist', 'mosaicplot', 'par'], 'package:rpart': ['prune', 'prune.rpart', 'rpart', 'rpart.control'], 'package:rpart.plot': ['rpart.plot'], 'package:stats': ['median', 'predict'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
245,ashutoshds-titanic-rf-prediction-0-81818,0.783,"{'package:base': ['apply', 'as.integer', 'c', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'library', 'list', 'mean', 'paste0', 'print', 'rep', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'summary', 'suppressMessages', 'table', 'tapply'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'element_blank', 'facet_grid', 'facet_wrap', 'geom_bar', 'geom_density', 'geom_histogram', 'geom_jitter', 'geom_text', 'geom_vline', 'ggplot', 'ggtitle', 'labs', 'scale_fill_discrete', 'scale_x_continuous', 'theme', 'xlab', 'ylab'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['legend', 'mosaicplot', 'plot'], 'package:grDevices': ['hcl'], 'package:randomForest': ['importance', 'randomForest', 'varImpPlot'], 'package:scales': ['dollar_format'], 'package:stats': ['aggregate', 'median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
246,prachimalusare-exploring-survival-on-the-titanic,0.764,"{'c(""package:dplyr"", ""package:stats"")': ['filter'], 'package:base': ['as.factor', 'c', 'cat', 'colnames', 'data.frame', 'factor', 'gsub', 'is.na', 'lapply', 'library', 'names', 'nlevels', 'paste', 'paste0', 'round', 'row.names', 'sapply', 'set.seed', 'strsplit', 'sum', 'table'], 'package:dplyr': ['bind_rows', 'dense_rank', 'desc', 'mutate'], 'package:ggplot2': ['aes', 'coord_flip', 'facet_grid', 'geom_bar', 'geom_boxplot', 'geom_density', 'geom_histogram', 'geom_hline', 'geom_text', 'geom_vline', 'ggplot', 'labs', 'scale_x_continuous', 'scale_y_continuous'], 'package:ggthemes': ['theme_few'], 'package:graphics': ['hist', 'legend', 'mosaicplot', 'par', 'plot'], 'package:mice': ['complete', 'md.pattern', 'mice'], 'package:randomForest': ['importance', 'randomForest'], 'package:scales': ['dollar_format'], 'package:stats': ['median', 'predict', 'reorder'], 'package:utils': ['read.csv', 'str', 'write.csv']}"
247,nrutyam-predictions-on-titanic,0.778,"{'c(""package:plyr"", ""package:dplyr"")': ['count'], 'package:Amelia': ['missmap'], 'package:base': ['as.character', 'as.factor', 'c', 'data.frame', 'gsub', 'ifelse', 'is.na', 'library', 'mean', 'nrow', 'options', 'prop.table', 'rbind', 'sapply', 'strsplit', 'table'], 'package:e1071': ['naiveBayes', 'svm'], 'package:graphics': ['boxplot'], 'package:stats': ['aggregate', 'predict'], 'package:utils': ['head', 'read.csv', 'str', 'write.csv']}"
